LGA,facility_type_needed,num_new_facilities_required,avg_time_BEFORE,avg_time_AFTER,proposed_locations
Emuoha,transport,5,46.83,31.78,"[(5.044690509208995, 6.761489265042164), (5.044690509208995, 6.761489265042164), (5.044690509208995, 6.761489265042164), (5.044690509208995, 6.761489265042164), (5.044690509208995, 6.761489265042164)]"
Etche,transport,5,24.82,18.37,"[(5.039640909147396, 7.017583604579592), (5.039640909147396, 7.017583604579592), (5.039640909147396, 7.017583604579592), (5.039640909147396, 7.017583604579592), (5.039640909147396, 7.017583604579592)]"
Gokana,transport,1,31.51,7.49,"[(4.64598336847129, 7.284496135742958)]"
Ikwerre,transport,2,22.64,8.83,"[(5.018722286032741, 6.967149762158851), (4.964752770653951, 7.0154428023579)]"
Khana,transport,1,25.97,10.54,"[(4.695740391027926, 7.511595592101649)]"
Ogba/Egbema/Ndoni,transport,1,45.98,9.39,"[(5.300445320268448, 6.629202036254693)]"
Ogu/Bolo,transport,2,42.78,0.0,"[(4.639180037298775, 7.179110274189388), (4.663277122425358, 7.22702497813278)]"
Okrika,transport,2,31.11,9.03,"[(4.70140060369244, 7.124467595679242), (4.759677115562983, 7.11310550430642)]"
Omumma,transport,5,67.48,21.14,"[(5.1279419677964055, 7.190423735889482), (5.10371500957732, 7.185239213371615), (5.10371500957732, 7.185239213371615), (5.10371500957732, 7.185239213371615), (5.10371500957732, 7.185239213371615)]"
Opobo/Nkoro,transport,2,21.34,8.86,"[(4.51806509164979, 7.540518303791149), (4.487266518355956, 7.551260492931503)]"
Oyigbo,transport,1,23.44,11.82,"[(4.83230796164241, 7.321021634120895)]"
Port Harcourt,transport,1,4.57,3.98,"[(4.682091951904712, 7.078213966090555)]"
Tai,transport,1,39.85,8.03,"[(4.701597121815726, 7.2694764721567315)]"
