incident_id,incident_category,optimal_time_mins
99,fire_disaster,37.593728878613454
100,fire_disaster,30.09175418817687
101,fire_disaster,33.39634402477652
102,security,22.437772962239766
103,security,18.46470761624871
104,security,22.710826309323775
105,transport,26.094523851658533
106,transport,21.373048902153688
107,transport,23.49912466431241
108,healthcare,31.855809783324005
109,healthcare,29.65821519777496
110,healthcare,38.57923440050142
111,fire_disaster,27.19098525285013
112,fire_disaster,38.085307086423136
113,fire_disaster,12.88040291756235
114,security,69.16066844856228
115,security,46.33395508163264
116,security,53.90289128177133
117,transport,28.672985403323956
118,transport,70.25033355002292
119,transport,41.55628109029451
120,healthcare,58.045107736094444
121,healthcare,53.70035445653517
122,healthcare,49.19705167936808
123,fire_disaster,46.91505780800798
124,fire_disaster,42.36943274090018
125,fire_disaster,50.050930479225094
126,security,57.52139634645203
127,security,61.64427006580981
128,security,42.00433053028474
129,transport,64.14214776153855
130,transport,53.99999127400636
131,transport,48.73273199922771
132,healthcare,25.7289518162728
133,healthcare,25.870826953882055
134,healthcare,24.581382716342276
135,fire_disaster,63.41199781935775
136,fire_disaster,67.24939835531492
137,fire_disaster,67.61054044614808
138,security,14.063782407782375
139,security,21.622155899361466
140,security,13.622628719454244
141,transport,36.22693383178439
142,transport,33.121412339674606
143,transport,25.176136874722324
144,healthcare,17.792320000886757
145,healthcare,15.822582300327133
146,healthcare,27.9839298697428
147,fire_disaster,28.824643487295877
148,fire_disaster,28.75479342761201
149,fire_disaster,40.790041825597804
150,security,24.404560125782417
151,security,43.04559002134507
152,security,68.62192856959956
153,transport,21.482996240243065
154,transport,36.08925949771931
155,transport,10.347767384556272
156,healthcare,27.072991829951814
157,healthcare,4.222035010313054
158,healthcare,25.57638785596047
159,fire_disaster,94.55875092773303
160,fire_disaster,81.17754314006021
161,fire_disaster,101.08977284258435
162,security,26.282253546454402
163,security,40.14242954758944
164,security,41.33002968271036
165,transport,30.220976812592976
166,transport,14.946504591498035
167,transport,32.74864488439893
